,birthdate,college,draft_pos,draft_year,height,player_id,position,weight,country_fixed,name
0,1963-04-14,USC,,,5.833333333333333,coopecy01w,Guard,150.0,us,Cynthia Cooper
1,1975-02-10,USC,1.0,1997.0,6.166666666666667,thompti01w,Forward,178.0,us,Tina Thompson
2,1969-04-11,,,,5.916666666666667,arcaija01w,Guard,147.0,br,Janeth Arcain
3,1968-10-14,South Florida,,,6.083333333333333,guytowa01w,Center,178.0,us,Wanda Guyton
4,1967-01-18,SW Louisiana,,,5.416666666666667,perroki01w,Guard,130.0,us,Kim Perrot
5,1973-04-26,Tennessee,,,5.583333333333333,wooslti01w,Guard,132.0,,Tiffany Woosley
6,1962-12-03,Florida,16.0,1997.0,6.166666666666667,jacksta01w,Forward-Center,190.0,us,Tammy Jackson
7,1965-03-12,Texas,,,6.0,harrifr01w,Guard-Forward,153.0,us,Fran Harris
8,1966-03-16,Texas,32.0,1997.0,,pollica01w,Forward,,it,Catarina Pollini
9,1974-08-21,,,,,gaypi01w,Guard-Forward,,,Pietra Gay
10,1973-09-27,Penn State,20.0,1997.0,5.166666666666667,nichoti01w,Guard,146.0,,Tina Nicholson
11,1972-05-23,Colorado,,,6.416666666666667,fijalis01w,Forward-Center,200.0,fr,Isabelle Fijalkowski
12,1973-06-21,Florida,13.0,1997.0,5.833333333333333,jonesme01w,Guard,147.0,us,Merlakia Jones
13,1966-03-06,Iowa,,,5.75,edwarmi01w,Guard,150.0,,Michelle Edwards
14,1972-12-03,,4.0,1997.0,6.25,nemcoev01w,Forward,178.0,cz,Eva Nemcova
15,1959-08-12,Kansas,,,6.0,woodaly01w,Guard,160.0,us,Lynette Woodard
16,1962-06-07,Louisiana Tech,,,6.25,braxtja01w,Forward,178.0,us,Janice Braxton
17,1973-12-20,Virginia As NBA,,,5.666666666666667,bouceje01w,Guard,130.0,us,Jenny Boucek
18,1974-02-05,Ohio State,,,5.833333333333333,johnsad01w,Guard,154.0,,Adrienne Johnson
19,1972-05-05,Furman,,,6.166666666666667,brownru01w,Forward,175.0,us,Rushia Brown
20,1973-10-06,Connecticut,,,6.333333333333333,lobore01w,Center,185.0,us,Rebecca Lobo
21,1965-12-08,Louisiana Tech,,,5.666666666666667,weathte01w,Guard,161.0,us,Teresa Weatherspoon
22,1969-07-06,Florida,11.0,1997.0,5.833333333333333,witheso01w,Guard,145.0,us,Sophia Witherspoon
23,1972-04-15,Louisiana Tech,,,5.75,johnsvi01w,Guard-Forward,150.0,us,Vickie Johnson
24,1962-11-03,Arizona State,,,6.166666666666667,hamptky01w,Center,210.0,us,Kym Hampton
25,1975-04-04,Georgia Tech,27.0,1997.0,5.833333333333333,fordki01w,Guard-Forward,153.0,,Kisha Ford
26,1965-08-04,NC State,22.0,1997.0,6.166666666666667,tricetr01w,Forward-Center,180.0,,Trena Trice
27,1972-10-29,Vanderbilt,,,5.583333333333333,bladerh01w,Guard,138.0,us,Rhonda Blades
28,1966-11-26,Rutgers,6.0,1997.0,6.25,wickssu01w,Forward,174.0,,Sue Wicks
29,1972-07-07,USC,,,6.416666666666667,leslili01w,Center,170.0,us,Lisa Leslie
30,1966-03-24,Long Beach State,,,5.666666666666667,tolerpe01w,Guard,132.0,,Penny Toler
31,1975-10-16,Stanford,3.0,1997.0,5.5,widemja01w,Guard,135.0,,Jamila Wideman
32,1975-12-14,Kansas,14.0,1997.0,5.75,dixonta01w,Guard,148.0,,Tamecka Dixon
33,1968-11-22,Tennessee,,,6.25,charlda01w,Forward-Center,225.0,us,Daedra Charles
34,1971-03-17,Maryland,19.0,1997.0,5.833333333333333,colleka01w,Forward,145.0,us,Katrina Colleton
35,1976-07-27,,,,5.916666666666667,mabikmw01w,Guard,165.0,cd,Mwadi Mabika
36,1967-03-07,,,,6.666666666666667,zhengha01w,Center,254.0,cn,Haixia Zheng
37,1969-07-27,Alabama,,,6.083333333333333,burgeli01w,Forward,173.0,us,Linda Burgess
38,1971-10-10,Lamar,30.0,1997.0,,ganttr01w,Center,,,Travesa Gant
39,1969-10-20,Auburn,18.0,1997.0,5.5,tremich01w,Guard,142.0,us,Chantel Tremitiere
40,1967-05-27,Auburn,,,5.75,boltoru01w,Guard,150.0,us,Ruthie Bolton
41,1967-04-27,Tennessee,,,6.0,gordobr01w,Forward,172.0,us,Bridgette Gordon
42,1968-03-17,Hawaii,,,,mosleju01w,Forward,,,Judy Mosley-McAfee
43,1962-12-01,USC,2.0,1997.0,6.25,mcgeepa01w,Forward-Center,180.0,us,Pamela McGee
44,1970-04-27,,,,5.75,hagiwmi01w,Guard,160.0,jp,Mikiko Hagiwara
45,1975-09-27,George Washington,31.0,1997.0,6.166666666666667,abrahta01w,Center,190.0,vi,Tajama Abraham
46,1973-12-05,Purdue,,,6.0,yasenco01w,Guard,160.0,us,Corissa Yasen
